date,flight,gear,start,end,A,B,C,D1,D2
6/24/2025,2,Drift,10:35,12:31,44,37,102,15,19
6/24/2025,2,Set,10:35,12:31,0,2,11,3,1
6/24/2025,2,Drift,16:00,17:45,5,3,37,10,20
6/24/2025,2,Set,16:00,17:45,0,0,21,1,2
