source,date.start,date.end,gear,stratum,mesh,length,trip.start,trip.end,soak.min,chinook,chum,sockeye
FC,6/23/2016,6/23/2016,Drift,B,5.75,150,19:30,20:45,80,4,7,2
FC,6/23/2016,6/23/2016,Drift,C,6,150,19:30,21:30,60,15,4,19
