date,flight,gear,start,end,A,B,C,D1,D2
6/21/2025,1,Drift,10:41,12:31,48,55,124,17,13
6/21/2025,1,Set,10:41,12:31,1,3,18,3,2
6/21/2025,2,drift,15:08,16:48,24,33,98,13,14
6/21/2025,2,set,15:08,16:48,0,0,14,5,2
