date.start,date.end,gear,stratum,mesh,length,trip.start,trip.end,soak.min,chinook,chum,sockeye,sheefish,whitefish
6/12/2017,6/12/2017,Drift,C,6,150,12:00,1,160,2,6,2,0,0
6/12/2017,6/12/2017,Drift,C,6,40,13:00,1,40,0,0,0,0,0
6/12/2017,6/12/2017,Drift,C,5,45,13:00,17:00,120,0,8,0,0,0
6/12/2017,6/12/2017,Drift,C,5,150,17:00,18:00,45,0,0,0,0,0
6/12/2017,6/12/2017,Drift,C,6,150,12:15,17:30,180,4,4,1,2,0
6/12/2017,6/12/2017,Drift,C,5.5,150,18:00,19:00,30,0,0,0,0,0
6/12/2017,6/12/2017,Drift,C,5.5,150,13:00,16:00,20,3,4,2,0,0
6/12/2017,6/12/2017,Drift,C,5.25,150,12:00,18:00,250,1,1,0,0,0
