date.start,date.end,stratum,soak.hrs,gear,length,chinook,chum,sockeye,sheefish,whitefish
6/12/2017,6/12/2017,B,1,drift,300,0,1,0,0,0
6/12/2017,6/12/2017,C,2.5,drift,150,1,2,1,0,0
6/12/2017,6/12/2017,C,2.17,drift,180,1,0,0,0,0
6/12/2017,6/12/2017,B,1,drift,NA,0,0,0,0,0
6/12/2017,6/12/2017,B,3,drift,150,5,3,0,0,0
6/12/2017,6/12/2017,B,4,drift,130,1,6,1,0,0
6/12/2017,6/12/2017,B,2.5,drift,141,3,0,1,0,0
6/12/2017,6/12/2017,B,3.5,drift,165,2,4,0,0,0
6/12/2017,6/12/2017,B,4,drift,155,3,3,2,0,0
6/12/2017,6/12/2017,B,4,drift,150,2,0,0,0,0
6/12/2017,6/12/2017,B,4,drift,150,2,1,1,0,0
6/12/2017,6/12/2017,B,1.5,drift,100,0,3,0,0,0
6/12/2017,6/12/2017,B,3,drift,150,0,3,2,0,0
6/12/2017,6/12/2017,B,1,drift,160,0,0,3,0,0
6/12/2017,6/12/2017,B,3,drift,200,0,0,0,0,0
6/12/2017,6/12/2017,B,2,drift,170,0,0,0,0,0
6/12/2017,6/12/2017,B,1,drift,150,0,0,0,0,0
6/12/2017,6/12/2017,B,5,drift,150,0,0,0,0,0
6/12/2017,6/12/2017,B,4,drift,160,1,1,0,0,0
6/12/2017,6/12/2017,B,5,drift,150,1,1,0,0,0
6/12/2017,6/12/2017,B,6,drift,200,3,2,0,0,0
6/12/2017,6/12/2017,B,5.25,drift,240,0,0,2,0,3
6/12/2017,6/12/2017,B,6,drift,150,3,1,0,0,0
6/12/2017,6/12/2017,B,6,drift,150,2,3,1,1,0
6/12/2017,6/12/2017,B,0.25,drift,180,0,1,0,0,0
6/12/2017,6/12/2017,B,5,drift,150,1,8,0,0,0
6/12/2017,6/12/2017,C,7,drift,170,0,12,2,0,0
6/12/2017,6/12/2017,C,0.5,drift,150,0,1,0,0,0
6/12/2017,6/12/2017,C,7,drift,150,4,5,0,0,0
6/12/2017,6/12/2017,C,2,drift,100,0,0,0,1,0
6/12/2017,6/12/2017,C,3,drift,150,4,0,0,0,0
6/12/2017,6/12/2017,C,6,drift,150,5,1,0,0,0
6/12/2017,6/12/2017,C,6.5,drift,180,1,0,0,0,0
6/12/2017,6/12/2017,C,1.5,drift,90,1,1,2,0,2
6/12/2017,6/12/2017,C,5,drift,180,4,2,1,0,0
6/12/2017,6/12/2017,C,3,drift,90,2,0,0,1,0
6/12/2017,6/12/2017,C,2,drift,150,1,2,0,1,0
6/12/2017,6/12/2017,C,2,drift,150,0,3,0,1,0
6/12/2017,6/12/2017,C,2,drift,165,0,0,0,0,0
6/12/2017,6/12/2017,C,5,drift,150,19,2,0,0,0
6/12/2017,6/12/2017,C,7.5,drift,100,0,0,0,0,0
6/12/2017,6/12/2017,C,3,drift,100,0,4,1,0,0
6/12/2017,6/12/2017,C,8.5,drift,150,1,1,1,0,1
6/12/2017,6/12/2017,C,2.5,drift,100,0,0,0,0,0
6/12/2017,6/12/2017,C,2,drift,150,0,0,0,1,0
6/12/2017,6/12/2017,C,0.25,drift,150,0,0,0,0,0
