date,flight,gear,start,end,A,B,C,D1
7/9/2022,1,drift,10:02,11:36,8,9,60,3
7/9/2022,1,set,10:02,11:36,0,0,0,0
7/9/2022,2,drift,14:06,16:36,10,18,57,5
7/9/2022,2,set,14:06,16:36,0,0,0,0
