date,flight,gear,start,end,A,B,C,D1
7/3/2017,1,drift,13:00,14:20,5,32,44,10
7/3/2017,1,set,13:00,14:20,0,0,0,0
7/3/2017,2,drift,17:00,18:20,11,36,33,10
7/3/2017,2,set,17:00,18:20,4,1,2,2
7/3/2017,3,drift,20:30,22:00,13,24,20,9
7/3/2017,3,set,20:30,22:00,0,3,1,3
