date.start,date.end,gear,stratum,mesh,length,trip.start,trip.end,soak.min,chinook,chum,sockeye,sheefish,whitefish
7/3/2017,7/3/2017,Set,C,6,150,12:00,13:45,90,9,44,57,1,0
7/3/2017,7/3/2017,Drift,C,5.38,150,16:00,18:30,15,0,10,10,0,0
7/3/2017,7/3/2017,Drift,C,6,150,17:45,18:45,30,0,15,6,0,0
7/3/2017,7/3/2017,Set,C,4.5,45,12:00,13:00,45,0,15,29,10,0
7/3/2017,7/3/2017,Drift,B,6,120,13:00,17:00,150,1,24,24,0,0
7/3/2017,7/3/2017,Set,C,5,80,14:00,14:05,5,0,3,4,0,0
7/3/2017,7/3/2017,Drift,C,6,130,13:00,13:30,20,1,0,2,0,0
7/3/2017,7/3/2017,Drift,C,6,150,14:30,15:30,60,2,11,7,0,0
