date.start,date.end,stratum,soak.hrs,gear,length,chinook,chum,sockeye,sheefish,whitefish
7/3/2017,7/3/2017,C,0.166666667,drift,150,1,10,2,0,0
7/3/2017,7/3/2017,C,0.75,drift,150,0,12,2,0,0
7/3/2017,7/3/2017,D1,0.5,drift,150,1,10,2,0,0
7/3/2017,7/3/2017,C,0.333333,drift,150,1,9,4,0,0
7/3/2017,7/3/2017,C,1.5,set,40,1,4,2,0,0
7/3/2017,7/3/2017,C,1,drift,150,0,7,0,0,0
7/3/2017,7/3/2017,C,1,drift,150,1,40,5,0,0
7/3/2017,7/3/2017,C,2,drift,150,1,30,80,0,0
7/3/2017,7/3/2017,C,0.833333333,drift,150,0,90,5,0,0
7/3/2017,7/3/2017,C,0.5,drift,120,2,20,20,0,0
7/3/2017,7/3/2017,C,0.166666667,drift,150,0,0,0,0,0
7/3/2017,7/3/2017,B,0.25,drift,120,0,5,0,0,0
7/3/2017,7/3/2017,B,0.25,drift,150,0,30,5,0,0
7/3/2017,7/3/2017,B,0.25,drift,140,0,50,0,0,0
7/3/2017,7/3/2017,B,0.5,drift,150,0,40,0,0,0
7/3/2017,7/3/2017,C,0.416666667,drift,150,0,10,0,0,0
7/3/2017,7/3/2017,C,0.75,drift,140,0,6,2,0,0
