date.start,date.end,gear,stratum,mesh,length,trip.start,trip.end,soak.min,chinook,chum,sockeye,sheefish,whitefish
6/28/2021,6/28/2021,Drift,C,6,150,10:00,17:30,350,26,10,60,0,0
6/28/2021,6/28/2021,Drift,B,5.125,150,15:30,17:30,45,2,0,38,0,0
6/28/2021,6/28/2021,Drift,C,6,150,15:00,18:30,120,24,3,12,0,1
6/28/2021,6/28/2021,Drift,C,6,60,15:00,19:00,80,0,0,9,0,3
6/28/2021,6/28/2021,Set,C,5.25,35,11:00,20:00,540,0,0,0,0,0
6/28/2021,6/28/2021,Drift,A,5.5,150,12:00,18:30,450,15,0,30,0,0
6/28/2021,6/28/2021,Drift,C,6,150,10:00,13:30,180,19,11,10,0,0
6/28/2021,6/28/2021,Drift,C,6,100,17:00,19:30,90,5,1,15,0,0
6/28/2021,6/28/2021,Drift,C,5.5,150,10:30,14:00,150,20,9,51,0,0
6/28/2021,6/28/2021,Drift,C,6,150,10:00,20:00,310,34,5,96,0,1
6/28/2021,6/28/2021,Drift,C,6,100,17:00,18:30,120,10,1,32,0,0
6/28/2021,6/28/2021,Drift,C,6,150,11:00,12:30,60,7,0,11,0,0
6/28/2021,6/28/2021,Drift,B,6,150,13:00,18:00,100,12,15,25,0,0
6/28/2021,6/28/2021,Set,C,5.375,90,10:30,22:00,690,6,2,21,0,0
6/28/2021,6/28/2021,Drift,C,6,150,10:00,15:00,240,22,20,42,0,0
6/28/2021,6/28/2021,Drift,A,6,150,14:30,15:00,20,3,0,38,0,0
6/28/2021,6/28/2021,Drift,C,6,150,16:00,22:00,60,9,4,13,0,0
6/28/2021,6/28/2021,Drift,C,6,100,10:00,19:00,150,30,1,50,0,0
6/28/2021,6/28/2021,Drift,C,6,150,11:00,19:00,240,31,1,50,0,0
