date.start,date.end,gear,stratum,mesh,length,trip.start,trip.end,soak.min,chinook,chum,sockeye,sheefish,whitefish
6/12/2019,6/12/2019,Drift,C,6,150,7:30,13:00,300,2,1,1,0,0
6/12/2019,6/12/2019,Drift,C,6,150,7:00,14:00,180,19,1,1,8,0
6/12/2019,6/12/2019,Drift,C,6,150,8:00,17:30,180,3,2,1,2,0
6/12/2019,6/12/2019,Drift,C,5,75,11:00,15:31,180,0,0,0,0,0
6/12/2019,6/12/2019,Drift,C,5.5,150,7:00,15:30,480,57,3,1,0,0
6/12/2019,6/12/2019,Set,A,4,60,12:00,13:00,15,0,0,0,0,0
6/12/2019,6/12/2019,Drift,C,5.75,150,6:30,11:30,240,6,0,2,0,0
6/12/2019,6/12/2019,Set,C,4,60,6:00,16:00,600,1,0,0,0,0
6/12/2019,6/12/2019,Drift,C,5.25,147,7:30,10:30,90,2,0,0,0,0
6/12/2019,6/12/2019,Drift,C,5.25,147,13:00,16:00,150,9,0,0,0,0
6/12/2019,6/12/2019,Drift,C,6,150,13:00,18:00,270,0,0,0,0,0
6/12/2019,6/12/2019,Drift,C,6,100,9:30,17:30,240,4,1,1,0,0
6/12/2019,6/12/2019,Drift,C,6,150,6:00,13:30,240,16,1,0,0,0
6/12/2019,6/12/2019,Drift,C,6,150,6:00,18:00,600,4,0,0,0,0
6/12/2019,6/12/2019,Drift,A,6,300,9:00,17:30,510,10,0,0,0,1
6/12/2019,6/12/2019,Set,C,6,50,6:30,15:00,480,25,2,0,0,1
