date,flight,gear,start,end,A,B,C,D1
7/1/2016,1,drift,11:30,13:00,7,21,30,3
7/1/2016,1,set,11:30,13:00,1,1,4,2
7/1/2016,2,drift,17:00,18:20,12,18,45,12
7/1/2016,2,set,17:00,18:20,0,0,6,0
