date,flight,gear,start,end,A,B,C,D1
6/12/2016,1,drift,15:30,17:50,158,87,112,59
6/12/2016,1,set,15:30,17:50,0,0,11,6
6/12/2016,2,drift,20:30,22:00,126,91,93,65
6/12/2016,2,set,20:30,22:00,0,4,7,7
