date,flight,gear,start,end,A,B,C,D1
6/21/2016,1,drift,15:10,17:10,140,79,107,51
6/21/2016,1,set,15:10,17:10,0,2,10,1
6/21/2016,2,drift,21:00,22:50,23,23,53,22
6/21/2016,2,set,21:00,22:50,0,5,26,4
