date,flight,gear,start,end,A,B,C,D1,D2
6/22/2024,1,drift,9:11,11:31,115,55,166,30,21
6/22/2024,1,set,9:11,11:31,0,4,25,5,5
6/22/2024,2,drift,16:03,18:51,39,36,87,19,17
6/22/2024,2,set,16:03,18:51,0,2,19,3,4
