date,flight,gear,start,end,A,B,C,D1,D2
6/17/2023,1,drift,10:00,11:35,83,50,199,22,18
6/17/2023,1,set,10:00,11:35,0,0,8,2,3
6/17/2023,2,drift,14:15,16:15,148,78,159,33,24
6/17/2023,2,set,14:15,16:15,2,8,16,4,6
