Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count, CASE  WHEN Count Type = 'Counted Live' THEN 'Counted' ELSE Count Type END,Method
Kuskokwim River Sonar,,,2019,06/01,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/02,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/03,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/04,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/05,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/06,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/07,Kuskokwim River Sonar,Chum,331,331,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/08,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/09,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/10,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/11,Kuskokwim River Sonar,Chum,20,20,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/12,Kuskokwim River Sonar,Chum,28,28,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/13,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/14,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/15,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/16,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/17,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/18,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/19,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/20,Kuskokwim River Sonar,Chum,280,280,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/21,Kuskokwim River Sonar,Chum,351,351,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/22,Kuskokwim River Sonar,Chum,631,631,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/23,Kuskokwim River Sonar,Chum,1128,1128,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/24,Kuskokwim River Sonar,Chum,1637,1637,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/25,Kuskokwim River Sonar,Chum,306,306,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/26,Kuskokwim River Sonar,Chum,1141,1141,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/27,Kuskokwim River Sonar,Chum,3500,3500,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/28,Kuskokwim River Sonar,Chum,18006,18006,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/29,Kuskokwim River Sonar,Chum,6471,6471,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/30,Kuskokwim River Sonar,Chum,14050,14050,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/01,Kuskokwim River Sonar,Chum,8590,8590,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/02,Kuskokwim River Sonar,Chum,9961,9961,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/03,Kuskokwim River Sonar,Chum,20935,20935,Calculated,Sonar
