Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count, CASE  WHEN Count Type = 'Counted Live' THEN 'Counted' ELSE Count Type END,Method
Kuskokwim River Sonar,,,2018,07/26,Kuskokwim River Sonar,Sockeye,13451,13451,Calculated,Sonar
Kuskokwim River Sonar,,,2019,05/31,Kuskokwim River Sonar,Sockeye,225,225,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/01,Kuskokwim River Sonar,Sockeye,179,179,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/02,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/03,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/04,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/05,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/06,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/07,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/08,Kuskokwim River Sonar,Sockeye,481,481,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/09,Kuskokwim River Sonar,Sockeye,188,188,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/10,Kuskokwim River Sonar,Sockeye,774,774,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/11,Kuskokwim River Sonar,Sockeye,811,811,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/12,Kuskokwim River Sonar,Sockeye,589,589,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/13,Kuskokwim River Sonar,Sockeye,1784,1784,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/14,Kuskokwim River Sonar,Sockeye,2757,2757,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/15,Kuskokwim River Sonar,Sockeye,2585,2585,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/16,Kuskokwim River Sonar,Sockeye,1407,1407,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/17,Kuskokwim River Sonar,Sockeye,2292,2292,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/18,Kuskokwim River Sonar,Sockeye,4028,4028,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/19,Kuskokwim River Sonar,Sockeye,2297,2297,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/20,Kuskokwim River Sonar,Sockeye,6549,6549,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/21,Kuskokwim River Sonar,Sockeye,10908,10908,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/22,Kuskokwim River Sonar,Sockeye,8806,8806,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/23,Kuskokwim River Sonar,Sockeye,14195,14195,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/24,Kuskokwim River Sonar,Sockeye,14119,14119,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/25,Kuskokwim River Sonar,Sockeye,8921,8921,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/26,Kuskokwim River Sonar,Sockeye,35698,35698,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/27,Kuskokwim River Sonar,Sockeye,21190,21190,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/28,Kuskokwim River Sonar,Sockeye,63610,63610,Calculated,Sonar
Kuskokwim River Sonar,,,2019,06/29,Kuskokwim River Sonar,Sockeye,89702,89702,Calculated,Sonar
