date,flight,gear,start,end,A,B,C,D1,D2
6/16/2024,1,drift,10:04,12:20,136,70,186,36,21
6/16/2024,1,set,10:04,12:20,3,16,50,6,3
6/16/2024,2,drift,15:12,17:35,72,55,136,11,21
6/16/2024,2,set,15:12,17:35,1,11,43,10,6
