"source","date.start","date.end","gear","stratum","mesh","length","trip.start","trip.end","soak.min","chinook","chum","sockeye"
"FC","6/16/2016","6/16/2016","Set","C",6,150,"12:00","16:00",240,0,0,0
"FC","6/16/2016","6/16/2016","Set","C",4,300,"12:00","16:00",240,0,0,0
"FC","6/16/2016","6/16/2016","Drift","C",6,180,"14:00","15:00",60,0,0,0
"FC","6/16/2016","6/16/2016","Drift","C",6,180,"14:00",NA,150,1,2,2
"FC","6/16/2016","6/16/2016","Drift","C",6,150,"12:05",NA,90,9,3,0
"FC","6/16/2016","6/16/2016","Drift","A",6,300,"13:00","16:05",180,30,NA,10
"FC","6/16/2016","6/16/2016","Set","C",4,300,"12:00","14:05",125,0,0,5
"FC","6/16/2016","6/16/2016","Set","B",6,150,"12:05","12:30",25,0,0,5
"FC","6/16/2016","6/16/2016","Set","B",5.5,150,"14:30",NA,NA,NA,NA,NA
"FC","6/16/2016","6/16/2016","Drift","C",6,150,"12:00","16:30",150,7,1,2
"FC","6/16/2016","6/17/2016","Set","C",6,150,"12:00","11:00",1410,20,1,3
"FC","6/16/2016","6/16/2016","Drift","C",5.5,150,"12:00","15:00",180,6,2,0
"FC","6/16/2016","6/17/2016","Set","C",5.5,150,"22:30","02:00",210,3,0,0
"FC","6/16/2016","6/16/2016","Drift","C",6,150,"13:30","23:30",360,3,0,1
"FC","6/16/2016","6/16/2016","Drift","C",6,150,"12:20","18:00",280,14,0,4
"FC","6/16/2016","6/16/2016","Drift","C",5.875,100,"14:00","21:00",350,1,1,0
"FC","6/16/2016","6/16/2016","Drift","B",6,300,"14:30","24:00",780,5,3,0
"FC","6/16/2016","6/16/2016","Drift","B",5.375,150,"12:00","24:00",180,12,11,1
"FC","6/16/2016","6/16/2016","Drift","A",5.875,300,"12:00","16:30",240,16,10,4
"FC","6/16/2016","6/16/2016","Drift","A",6,300,"12:00","21:00",420,40,3,1
"FC","6/16/2016","6/16/2016","Drift","B",6,300,"12:00","18:00",300,13,3,0
"FC","6/16/2016","6/17/2016","Drift","B",6,150,"12:30","01:30",710,14,2,3
"FC","6/16/2016","6/17/2016","Drift","B",6,150,"12:00","12:00",1260,57,23,4
"FC","6/16/2016","6/16/2016","Drift","B",5.5,150,"12:00","17:00",225,12,1,1
"FC","6/16/2016","6/16/2016","Drift","A",6,150,"16:00",NA,180,13,15,4
