date.start,date.end,stratum,soak.hrs,gear,length,chinook,chum,sockeye,sheefish,whitefish
6/24/2017,6/24/2017,A,0.75,drift,150,1,15,10,0,0
6/24/2017,6/24/2017,A,1,drift,150,0,15,6,0,0
6/24/2017,6/24/2017,A,0.833333333,drift,150,0,5,1,0,0
6/24/2017,6/24/2017,A,1.083333333,drift,150,2,20,0,0,0
6/24/2017,6/24/2017,A,2.45,drift,300,4,10,30,0,0
6/24/2017,6/24/2017,A,0.5,drift,150,0,2,6,0,0
6/24/2017,6/24/2017,A,0.5,drift,150,5,15,5,0,0
6/24/2017,6/24/2017,A,2.75,drift,150,4,5,0,0,0
6/24/2017,6/24/2017,A,1,drift,150,4,14,0,0,0
6/24/2017,6/24/2017,A,1,drift,190,0,4,4,0,0
6/24/2017,6/24/2017,A,8,drift,150,4,22,22,0,0
6/24/2017,6/24/2017,A,8.5,drift,150,8,90,10,0,0
6/24/2017,6/24/2017,A,5,drift,150,2,20,20,0,0
6/24/2017,6/24/2017,A,8.5,drift,150,3,5,1,0,0
6/24/2017,6/24/2017,A,6,drift,300,1,38,2,0,0
6/24/2017,6/24/2017,A,3,drift,150,8,8,3,0,0
6/24/2017,6/24/2017,B,2.5,drift,210,3,20,7,0,0
6/24/2017,6/24/2017,B,2,drift,180,2,17,2,0,0
6/24/2017,6/24/2017,B,2,drift,150,5,4,1,0,0
6/24/2017,6/24/2017,B,0.5,drift,150,2,2,2,0,0
6/24/2017,6/24/2017,B,0.5,drift,150,4,20,20,0,0
6/24/2017,6/24/2017,B,2,drift,150,3,20,30,0,0
6/24/2017,6/24/2017,C,0.333333,drift,150,3,15,10,1,0
6/24/2017,6/24/2017,C,1,drift,180,10,30,20,0,0
6/24/2017,6/24/2017,C,3,drift,200,0,0,4,0,0
6/24/2017,6/24/2017,C,0.5,drift,180,7,10,7,0,0
6/24/2017,6/24/2017,C,3.333333,drift,180,5,15,10,0,0
6/24/2017,6/24/2017,D1,0.5,drift,270,3,1,1,0,0
6/24/2017,6/24/2017,C,2,drift,150,1,20,0,0,0
6/24/2017,6/24/2017,C,2,drift,150,7,15,5,0,0
6/24/2017,6/24/2017,C,2,drift,150,0,4,1,0,0
6/24/2017,6/24/2017,C,2.166666667,drift,150,8,23,3,0,0
6/24/2017,6/24/2017,C,1.5,drift,150,1,3,11,0,0
6/24/2017,6/24/2017,C,2.5,drift,150,0,40,7,0,0
6/24/2017,6/24/2017,C,2.25,drift,180,1,16,3,0,0
6/24/2017,6/24/2017,C,2.75,drift,130,2,38,1,0,0
6/24/2017,6/24/2017,C,2.5,drift,150,10,25,3,0,0
6/24/2017,6/24/2017,C,2,drift,150,4,30,35,0,0
6/24/2017,6/24/2017,C,2.25,drift,150,8,40,10,0,0
6/24/2017,6/24/2017,B,1,drift,150,4,18,2,0,0
6/24/2017,6/24/2017,B,2.5,drift,120,6,14,7,0,0
6/24/2017,6/24/2017,B,3,drift,150,3,5,8,0,0
6/24/2017,6/24/2017,B,1,drift,120,0,4,3,0,0
6/24/2017,6/24/2017,C,1,drift,150,0,45,60,0,0
6/24/2017,6/24/2017,B,1,drift,150,6,26,15,0,0
6/24/2017,6/24/2017,B,4,drift,150,1,40,19,0,0
6/24/2017,6/24/2017,B,1,drift,150,1,9,1,0,0
6/24/2017,6/24/2017,B,2,drift,180,0,15,2,0,0
6/24/2017,6/24/2017,B,0.75,drift,150,0,4,0,0,0
6/24/2017,6/24/2017,B,2.75,drift,180,5,44,2,0,0
6/24/2017,6/24/2017,B,1.5,drift,150,6,70,5,0,0
6/24/2017,6/24/2017,B,3.25,drift,120,1,50,2,0,0
6/24/2017,6/24/2017,B,4,drift,100,3,55,30,0,0
6/24/2017,6/24/2017,B,4.5,drift,150,0,10,12,0,0
6/24/2017,6/24/2017,B,3.5,drift,100,1,40,5,0,0
6/24/2017,6/24/2017,B,1.5,drift,75,4,22,20,0,0
6/24/2017,6/24/2017,B,2,drift,150,2,20,0,0,0
6/24/2017,6/24/2017,B,0.5,drift,160,2,0,0,0,0
6/24/2017,6/24/2017,B,0.5,drift,160,6,40,10,0,0
6/24/2017,6/24/2017,B,4,drift,150,6,18,10,0,0
6/24/2017,6/24/2017,B,0.75,drift,150,3,4,0,0,0
6/24/2017,6/24/2017,B,4,drift,180,4,7,2,0,0
6/24/2017,6/24/2017,B,5,drift,170,5,20,12,0,0
6/24/2017,6/24/2017,B,3,drift,150,3,11,2,0,0
6/24/2017,6/24/2017,A,5,drift,150,3,7,5,0,0
6/24/2017,6/24/2017,B,7,drift,150,0,12,17,0,0
6/24/2017,6/24/2017,C,0.5,drift,180,0,4,3,0,0
6/24/2017,6/24/2017,C,0.5,drift,150,0,3,1,0,0
6/24/2017,6/24/2017,C,3.5,drift,150,2,35,20,0,0
6/24/2017,6/24/2017,C,3,drift,180,2,28,4,0,0
6/24/2017,6/24/2017,C,1.5,drift,180,4,15,20,0,0
6/24/2017,6/24/2017,C,4.5,drift,130,2,5,3,0,0
6/24/2017,6/24/2017,C,1.5,drift,100,1,0,0,0,0
6/24/2017,6/24/2017,C,1,drift,150,1,0,3,0,0
6/24/2017,6/24/2017,C,1,drift,160,1,7,1,0,0
6/24/2017,6/24/2017,C,5,drift,100,15,15,38,0,0
6/24/2017,6/24/2017,C,2.5,set,150,5,33,2,0,0
6/24/2017,6/24/2017,C,7.5,set,150,3,26,13,0,0
6/24/2017,6/24/2017,C,1,set,150,1,10,2,0,0
6/24/2017,6/24/2017,C,4,drift,50,1,2,0,0,0
