date,flight,gear,start,end,A,B,C,D1
6/12/2022,1,drift,10:15,12:00,84,77,156,27
6/12/2022,1,set,10:15,12:00,1,0,13,1
6/12/2022,2,drift,15:00,16:32,68,40,157,24
6/12/2022,2,set,15:00,16:32,0,3,13,3
