date,flight,gear,start,end,A,B,C,D1,D2
6/12/2025,1,drift,10:27,12:43,85,48,153,31,13
6/12/2025,1,set,10:27,12:43,0,4,20,6,2
6/12/2025,2,drift,14:50,17:13,58,50,138,20,19
6/12/2025,2,set,14:50,17:13,2,12,36,17,14
