"source","date.start","date.end","gear","stratum","mesh","length","trip.start","trip.end","soak.min","chinook","chum","sockeye"
"FC","6/22/2016","6/22/2016","Drift","B",6,150,"11:00","14:00",90,11,3,11
"FC","6/22/2016","6/22/2016","Drift","B",5.5,150,"11:00","14:00",120,4,4,2
"FC","6/22/2016","6/22/2016","Drift","C",5.875,140,"11:00","12:30",60,9,1,5
"FC","6/22/2016","6/22/2016","Drift","C",6,100,"16:30","17:00",30,4,6,5
"FC","6/22/2016","6/22/2016","Drift","C",6,150,"20:00","21:30",60,4,6,4
"FC","6/22/2016","6/22/2016","Drift","A",5.875,300,"12:40","22:30",480,44,0,0
"FC","6/22/2016","6/22/2016","Drift","B",5.5,150,"12:00","15:00",80,21,2,2
"FC","6/22/2016","6/22/2016","Drift","B",6,300,"10:40","14:00",180,10,6,6
"FC","6/22/2016","6/22/2016","Drift","B",5.5,100,"11:00","15:00",30,15,8,8
"FC","6/22/2016","6/22/2016","Drift","B",5.5,150,"14:00","19:00",270,11,16,13
"FC","6/22/2016","6/22/2016","Drift","C",6,150,"07:30","09:30",60,21,4,4
