date,flight,gear,start,end,A,B,C,D1
6/12/2021,1,drift,9:17,10:50,49,41,150,34
6/12/2021,1,set,9:17,10:50,0,2,14,3
6/12/2021,2,drift,15:00,16:30,60,48,122,20
6/12/2021,2,set,15:00,16:30,2,2,17,3
