date,flight,gear,start,end,A,B,C,D1
6/18/2020,1,drift,8:51,10:08,150,76,195,43
6/18/2020,1,set,8:51,10:08,2,2,21,0
6/18/2020,2,drift,13:05,14:30,112,86,156,16
6/18/2020,2,set,13:05,14:30,0,0,11,2
